timestamp,x (in microteslas),y (in microteslas),z (in microteslas)
1454978705.586170,212.402740,93.149536,-678.476685
1454978705.606220,212.101974,92.998611,-678.327881
1454978705.626270,211.952057,92.997940,-678.478638
1454978705.646289,213.003860,93.376419,-678.699158
1454978705.666339,213.003754,93.376648,-678.474182
1454978705.686359,212.103760,93.373474,-678.479187
1454978705.706409,212.327087,92.999191,-678.551575
1454978705.726429,212.252380,93.074005,-678.477295
1454978705.746479,212.928146,93.226242,-678.624023
1454978705.766498,212.777664,93.151001,-678.324646
1454978705.786548,211.952774,93.147873,-678.554199
1454978705.806568,212.252335,93.074066,-678.402283
1454978705.826648,212.327316,93.074402,-678.326904
1454978705.846698,213.228699,93.377518,-678.397949
1454978705.866748,212.778336,93.300995,-678.325195
1454978705.886829,212.552765,93.149994,-678.550903
1454978705.906879,212.252914,93.148636,-678.852539
1454978705.926898,212.326324,92.849335,-678.401062
1454978705.946949,212.853256,93.225754,-678.849487
1454978705.966999,212.702194,93.075958,-678.099792
1454978705.987018,212.102005,92.998535,-678.402832
1454978706.007068,212.251709,92.924011,-678.476746
1454978706.027088,212.402130,92.999374,-678.626160
1454978706.047138,213.077377,93.076920,-678.472717
1454978706.067188,212.328033,93.224335,-678.402405
1454978706.087207,212.553650,93.375275,-678.251709
1454978706.107257,212.328003,93.224411,-678.327393
1454978706.127307,211.802643,93.147629,-678.255005
1454978706.147357,212.778763,93.375854,-678.475464
1454978706.167408,212.327011,92.999329,-678.401611
1454978706.187427,212.328491,93.299118,-678.627625
1454978706.207477,212.102661,93.148621,-678.328369
1454978706.227497,212.627991,93.225464,-678.325745
1454978706.247547,213.004089,93.451645,-678.474426
1454978706.267597,212.328445,93.299194,-678.552612
1454978706.287616,212.328842,93.374115,-678.627930
1454978706.307666,212.403763,93.374527,-678.477539
1454978706.327716,212.027817,93.148056,-678.628784
1454978706.347736,212.927872,93.151093,-678.773804
1454978706.367786,212.553482,93.299911,-678.626404
1454978706.387805,212.478409,93.299805,-678.476807
1454978706.407856,212.252182,92.998703,-678.776978
1454978706.427906,212.103073,93.223480,-678.478638
1454978706.447956,212.778870,93.375626,-678.700439
1454978706.467975,212.102310,93.073608,-678.328125
1454978706.488025,212.553711,93.375122,-678.401672
1454978706.508075,212.254166,93.448853,-678.628601
1454978706.528156,212.252045,92.999008,-678.476990
1454978706.548175,213.003830,93.376495,-678.624146
1454978706.568225,212.477737,93.149811,-678.476318
1454978706.588275,212.329102,93.449265,-678.478149
1454978706.608325,212.327820,93.149124,-678.627136
1454978706.628376,211.878159,93.222534,-678.629883
1454978706.648426,213.228821,93.377304,-678.622925
1454978706.668445,212.328156,93.224121,-678.627380
1454978706.688495,211.953033,93.223007,-678.404480
1454978706.708545,212.027634,93.148422,-678.253784
1454978706.728595,212.778793,93.375778,-678.550415
1454978706.748645,213.154160,93.452026,-678.623596
1454978706.768665,212.253708,93.374069,-678.403320
1454978706.788715,212.253098,93.223938,-678.552795
1454978706.808765,212.103653,93.373688,-678.254150
1454978706.828784,212.928070,93.226395,-678.474060
1454978706.848835,213.003174,93.226425,-678.698608
1454978706.868885,212.478027,93.224869,-678.401550
1454978706.888904,212.553711,93.375122,-678.401672
1454978706.908985,212.702805,93.150452,-678.625061
1454978706.929035,213.005219,93.676422,-678.700195
1454978706.949085,212.929199,93.451157,-678.699829
1454978706.969135,213.078201,93.226624,-678.773193
1454978706.989185,212.327316,93.074402,-678.326904
1454978707.009204,212.628143,93.225174,-678.625732
1454978707.029254,213.078659,93.301392,-678.998474
1454978707.049304,213.003143,93.226501,-678.623657
1454978707.069355,212.104431,93.523468,-678.479675
1454978707.089405,212.628143,93.225174,-678.625732
1454978707.109455,212.328369,93.299332,-678.402649
1454978707.129505,212.853836,93.375977,-678.625000
1454978707.149524,213.003540,93.301346,-678.773926
1454978707.169574,212.553360,93.300125,-678.401367
1454978707.189594,212.328903,93.373962,-678.777893
1454978707.209644,212.703888,93.375290,-678.775818
1454978707.229694,213.378174,93.227753,-678.696533
1454978707.249713,213.152802,93.152039,-678.622559
1454978707.269763,212.478073,93.224808,-678.476562
1454978707.289783,212.402130,92.999374,-678.626160
1454978707.309833,212.553284,93.224609,-678.926147
1454978707.329853,213.303177,93.227493,-678.696960
1454978707.349903,213.228470,93.302307,-678.622681
1454978707.369922,212.327698,93.149338,-678.402100
1454978707.389972,212.177383,93.073730,-678.477661
1454978707.409992,212.476822,92.924576,-678.700500
1454978707.430042,213.078247,93.226547,-678.848206
1454978707.450092,213.004089,93.451645,-678.474426
1454978707.470142,212.477768,93.149734,-678.551270
1454978707.490192,212.402390,93.074524,-678.476440
1454978707.510242,212.177383,93.073730,-678.477661
1454978707.530292,212.778946,93.375473,-678.850403
1454978707.550342,211.727127,92.996994,-678.629883
1454978707.570392,212.027924,93.223495,-678.179077
1454978707.590442,212.253433,93.298935,-678.553040
1454978707.610470,212.476059,92.774734,-678.549988
1454978707.630520,213.227753,93.152390,-678.547119
1454978707.650570,212.326797,92.924118,-678.626343
1454978707.670620,212.178146,93.223587,-678.628174
1454978707.690640,212.252487,93.073776,-678.702271
1454978707.710659,212.177155,92.998505,-678.702393
1454978707.730709,213.227722,93.152466,-678.472168
1454978707.750790,212.327347,93.074326,-678.401855
1454978707.770840,212.928146,93.226242,-678.624023
1454978707.790860,212.102310,93.073608,-678.328125
1454978707.810910,212.252151,92.998779,-678.702026
1454978707.830929,212.927490,93.076157,-678.698547
1454978707.850949,212.252487,93.073776,-678.702271
1454978707.870999,212.552414,93.074982,-678.550598
1454978707.891018,212.326828,92.924042,-678.701294
1454978707.911038,212.327499,93.074036,-678.701843
1454978707.931088,212.852234,93.000748,-678.848633
1454978707.951107,212.327744,93.149277,-678.477112
1454978707.971127,212.403870,93.374298,-678.702515
1454978707.991147,212.777771,93.150787,-678.549622
1454978708.011197,212.477158,92.999573,-678.700745
1454978708.031216,213.227905,93.152084,-678.847107
1454978708.051266,212.777084,93.000778,-678.549072
1454978708.071286,212.777344,93.075912,-678.399414
1454978708.091336,211.877777,93.147614,-678.554626
1454978708.111355,212.552383,93.075058,-678.475586
1454978708.131375,213.152176,93.001877,-678.771973
1454978708.151425,212.475418,92.624664,-678.624451
1454978708.171475,212.702408,93.075516,-678.549805
1454978708.191525,212.327393,93.074265,-678.476868
1454978708.211544,212.551743,92.924988,-678.550049
1454978708.231564,213.303833,93.377563,-678.622498
1454978708.251614,212.103104,93.223404,-678.553650
1454978708.271664,212.177689,93.148804,-678.402954
1454978708.291745,212.402008,92.999588,-678.401184
1454978708.311764,212.327850,93.149048,-678.702148
